Area Code,Area,Months Code,Months,Element Code,Element,Unit,Y2019
201,Somalia,7020,Meteorological year,7271,Temperature change,°C,2.115
255,Belgium,7020,Meteorological year,7271,Temperature change,°C,2.075
211,Switzerland,7020,Meteorological year,7271,Temperature change,°C,2.075
118,Kuwait,7020,Meteorological year,7271,Temperature change,°C,2.067
80,Bosnia and Herzegovina,7020,Meteorological year,7271,Temperature change,°C,2.06
125,Liechtenstein,7020,Meteorological year,7271,Temperature change,°C,2.059
52,Azerbaijan,7020,Meteorological year,7271,Temperature change,°C,2.025
68,France,7020,Meteorological year,7271,Temperature change,°C,1.983
140,Monaco,7020,Meteorological year,7271,Temperature change,°C,1.962
179,Qatar,7020,Meteorological year,7271,Temperature change,°C,1.93
235,Uzbekistan,7020,Meteorological year,7271,Temperature change,°C,1.929
45,Comoros,7020,Meteorological year,7271,Temperature change,°C,1.925
141,Mongolia,7020,Meteorological year,7271,Temperature change,°C,1.918
85,Greenland,7020,Meteorological year,7271,Temperature change,°C,1.917
273,Montenegro,7020,Meteorological year,7271,Temperature change,°C,1.913
3,Albania,7020,Meteorological year,7271,Temperature change,°C,1.911
154,North Macedonia,7020,Meteorological year,7271,Temperature change,°C,1.911
5104,Southern Africa,7020,Meteorological year,7271,Temperature change,°C,1.911
219,Tonga,7020,Meteorological year,7271,Temperature change,°C,1.904
213,Turkmenistan,7020,Meteorological year,7271,Temperature change,°C,1.886
175,Guinea-Bissau,7020,Meteorological year,7271,Temperature change,°C,1.884
5706,European Union,7020,Meteorological year,7271,Temperature change,°C,1.884
6,Andorra,7020,Meteorological year,7271,Temperature change,°C,1.871
1,Armenia,7020,Meteorological year,7271,Temperature change,°C,1.864
237,Viet Nam,7020,Meteorological year,7271,Temperature change,°C,1.841
96,"China, Hong Kong SAR",7020,Meteorological year,7271,Temperature change,°C,1.831
128,"China, Macao SAR",7020,Meteorological year,7271,Temperature change,°C,1.831
73,Georgia,7020,Meteorological year,7271,Temperature change,°C,1.809
270,Mayotte,7020,Meteorological year,7271,Temperature change,°C,1.809
116,Democratic People's Republic of Korea,7020,Meteorological year,7271,Temperature change,°C,1.802
202,South Africa,7020,Meteorological year,7271,Temperature change,°C,1.8
103,Iraq,7020,Meteorological year,7271,Temperature change,°C,1.74
114,Kenya,7020,Meteorological year,7271,Temperature change,°C,1.74
130,Malawi,7020,Meteorological year,7271,Temperature change,°C,1.729
143,Morocco,7020,Meteorological year,7271,Temperature change,°C,1.728
194,Saudi Arabia,7020,Meteorological year,7271,Temperature change,°C,1.701
197,Sierra Leone,7020,Meteorological year,7271,Temperature change,°C,1.701
223,Turkey,7020,Meteorological year,7271,Temperature change,°C,1.701
7,Angola,7020,Meteorological year,7271,Temperature change,°C,1.694
20,Botswana,7020,Meteorological year,7271,Temperature change,°C,1.688
113,Kyrgyzstan,7020,Meteorological year,7271,Temperature change,°C,1.683
187,"Saint Helena, Ascension and Tristan da Cunha",7020,Meteorological year,7271,Temperature change,°C,1.683
216,Thailand,7020,Meteorological year,7271,Temperature change,°C,1.682
192,San Marino,7020,Meteorological year,7271,Temperature change,°C,1.68
215,United Republic of Tanzania,7020,Meteorological year,7271,Temperature change,°C,1.68
106,Italy,7020,Meteorological year,7271,Temperature change,°C,1.679
182,Réunion,7020,Meteorological year,7271,Temperature change,°C,1.674
21,Brazil,7020,Meteorological year,7271,Temperature change,°C,1.672
75,Gambia,7020,Meteorological year,7271,Temperature change,°C,1.656
5403,Southern Europe,7020,Meteorological year,7271,Temperature change,°C,1.627
5848,Annex I countries,7020,Meteorological year,7271,Temperature change,°C,1.627
224,Turks and Caicos Islands,7020,Meteorological year,7271,Temperature change,°C,1.619
5305,Western Asia,7020,Meteorological year,7271,Temperature change,°C,1.619
102,Iran (Islamic Republic of),7020,Meteorological year,7271,Temperature change,°C,1.617
23,Belize,7020,Meteorological year,7271,Temperature change,°C,1.616
32,Cameroon,7020,Meteorological year,7271,Temperature change,°C,1.616
259,Channel Islands,7020,Meteorological year,7271,Temperature change,°C,1.613
61,Equatorial Guinea,7020,Meteorological year,7271,Temperature change,°C,1.603
122,Lesotho,7020,Meteorological year,7271,Temperature change,°C,1.603
49,Cuba,7020,Meteorological year,7271,Temperature change,°C,1.591
94,Holy See,7020,Meteorological year,7271,Temperature change,°C,1.591
74,Gabon,7020,Meteorological year,7271,Temperature change,°C,1.586
5301,Central Asia,7020,Meteorological year,7271,Temperature change,°C,1.579
210,Sweden,7020,Meteorological year,7271,Temperature change,°C,1.567
50,Cyprus,7020,Meteorological year,7271,Temperature change,°C,1.566
205,Western Sahara,7020,Meteorological year,7271,Temperature change,°C,1.56
129,Madagascar,7020,Meteorological year,7271,Temperature change,°C,1.552
28,Myanmar,7020,Meteorological year,7271,Temperature change,°C,1.552
90,Guinea,7020,Meteorological year,7271,Temperature change,°C,1.544
212,Syrian Arab Republic,7020,Meteorological year,7271,Temperature change,°C,1.544
69,French Guiana,7020,Meteorological year,7271,Temperature change,°C,1.53
195,Senegal,7020,Meteorological year,7271,Temperature change,°C,1.52
5101,Eastern Africa,7020,Meteorological year,7271,Temperature change,°C,1.515
93,Haiti,7020,Meteorological year,7271,Temperature change,°C,1.505
5,American Samoa,7020,Meteorological year,7271,Temperature change,°C,1.502
39,Chad,7020,Meteorological year,7271,Temperature change,°C,1.499
89,Guatemala,7020,Meteorological year,7271,Temperature change,°C,1.496
207,Suriname,7020,Meteorological year,7271,Temperature change,°C,1.494
84,Greece,7020,Meteorological year,7271,Temperature change,°C,1.491
18,Bhutan,7020,Meteorological year,7271,Temperature change,°C,1.49
196,Seychelles,7020,Meteorological year,7271,Temperature change,°C,1.485
5302,Eastern Asia,7020,Meteorological year,7271,Temperature change,°C,1.485
226,Uganda,7020,Meteorological year,7271,Temperature change,°C,1.483
222,Tunisia,7020,Meteorological year,7271,Temperature change,°C,1.48
5102,Middle Africa,7020,Meteorological year,7271,Temperature change,°C,1.476
5000,World,7020,Meteorological year,7271,Temperature change,°C,1.473
108,Kazakhstan,7020,Meteorological year,7271,Temperature change,°C,1.469
5206,Caribbean,7020,Meteorological year,7271,Temperature change,°C,1.467
67,Finland,7020,Meteorological year,7271,Temperature change,°C,1.465
169,Paraguay,7020,Meteorological year,7271,Temperature change,°C,1.464
37,Central African Republic,7020,Meteorological year,7271,Temperature change,°C,1.462
5402,Northern Europe,7020,Meteorological year,7271,Temperature change,°C,1.462
209,Eswatini,7020,Meteorological year,7271,Temperature change,°C,1.457
251,Zambia,7020,Meteorological year,7271,Temperature change,°C,1.456
46,Congo,7020,Meteorological year,7271,Temperature change,°C,1.443
137,Mauritius,7020,Meteorological year,7271,Temperature change,°C,1.438
12,Bahamas,7020,Meteorological year,7271,Temperature change,°C,1.434
5802,Land Locked Developing Countries,7020,Meteorological year,7271,Temperature change,°C,1.429
95,Honduras,7020,Meteorological year,7271,Temperature change,°C,1.428
41,"China, mainland",7020,Meteorological year,7271,Temperature change,°C,1.424
166,Panama,7020,Meteorological year,7271,Temperature change,°C,1.424
10,Australia,7020,Meteorological year,7271,Temperature change,°C,1.423
351,China,7020,Meteorological year,7271,Temperature change,°C,1.423
115,Cambodia,7020,Meteorological year,7271,Temperature change,°C,1.421
136,Mauritania,7020,Meteorological year,7271,Temperature change,°C,1.417
5100,Africa,7020,Meteorological year,7271,Temperature change,°C,1.415
56,Dominican Republic,7020,Meteorological year,7271,Temperature change,°C,1.413
5501,Australia and New Zealand,7020,Meteorological year,7271,Temperature change,°C,1.413
5817,Net Food Importing Developing Countries,7020,Meteorological year,7271,Temperature change,°C,1.412
244,Samoa,7020,Meteorological year,7271,Temperature change,°C,1.407
5801,Least Developed Countries,7020,Meteorological year,7271,Temperature change,°C,1.405
203,Spain,7020,Meteorological year,7271,Temperature change,°C,1.398
220,Trinidad and Tobago,7020,Meteorological year,7271,Temperature change,°C,1.387
72,Djibouti,7020,Meteorological year,7271,Temperature change,°C,1.385
208,Tajikistan,7020,Meteorological year,7271,Temperature change,°C,1.381
217,Togo,7020,Meteorological year,7271,Temperature change,°C,1.377
159,Nigeria,7020,Meteorological year,7271,Temperature change,°C,1.373
5500,Oceania,7020,Meteorological year,7271,Temperature change,°C,1.37
5300,Asia,7020,Meteorological year,7271,Temperature change,°C,1.369
121,Lebanon,7020,Meteorological year,7271,Temperature change,°C,1.363
35,Cabo Verde,7020,Meteorological year,7271,Temperature change,°C,1.362
5849,Non-Annex I countries,7020,Meteorological year,7271,Temperature change,°C,1.361
44,Colombia,7020,Meteorological year,7271,Temperature change,°C,1.353
123,Liberia,7020,Meteorological year,7271,Temperature change,°C,1.351
83,Kiribati,7020,Meteorological year,7271,Temperature change,°C,1.347
238,Ethiopia,7020,Meteorological year,7271,Temperature change,°C,1.346
131,Malaysia,7020,Meteorological year,7271,Temperature change,°C,1.343
174,Portugal,7020,Meteorological year,7271,Temperature change,°C,1.321
33,Canada,7020,Meteorological year,7271,Temperature change,°C,1.315
250,Democratic Republic of the Congo,7020,Meteorological year,7271,Temperature change,°C,1.313
5207,South America,7020,Meteorological year,7271,Temperature change,°C,1.31
58,Ecuador,7020,Meteorological year,7271,Temperature change,°C,1.308
5204,Central America,7020,Meteorological year,7271,Temperature change,°C,1.307
25,Solomon Islands,7020,Meteorological year,7271,Temperature change,°C,1.301
5304,South-Eastern Asia,7020,Meteorological year,7271,Temperature change,°C,1.301
5873,OECD,7020,Meteorological year,7271,Temperature change,°C,1.297
112,Jordan,7020,Meteorological year,7271,Temperature change,°C,1.296
157,Nicaragua,7020,Meteorological year,7271,Temperature change,°C,1.287
14,Barbados,7020,Meteorological year,7271,Temperature change,°C,1.286
138,Mexico,7020,Meteorological year,7271,Temperature change,°C,1.286
109,Jamaica,7020,Meteorological year,7271,Temperature change,°C,1.285
48,Costa Rica,7020,Meteorological year,7271,Temperature change,°C,1.279
38,Sri Lanka,7020,Meteorological year,7271,Temperature change,°C,1.274
193,Sao Tome and Principe,7020,Meteorological year,7271,Temperature change,°C,1.272
81,Ghana,7020,Meteorological year,7271,Temperature change,°C,1.271
117,Republic of Korea,7020,Meteorological year,7271,Temperature change,°C,1.268
5105,Western Africa,7020,Meteorological year,7271,Temperature change,°C,1.266
99,Iceland,7020,Meteorological year,7271,Temperature change,°C,1.262
26,Brunei Darussalam,7020,Meteorological year,7271,Temperature change,°C,1.257
229,United Kingdom,7020,Meteorological year,7271,Temperature change,°C,1.257
53,Benin,7020,Meteorological year,7271,Temperature change,°C,1.246
5200,Americas,7020,Meteorological year,7271,Temperature change,°C,1.246
243,Wallis and Futuna Islands,7020,Meteorological year,7271,Temperature change,°C,1.245
5815,Low Income Food Deficit Countries,7020,Meteorological year,7271,Temperature change,°C,1.244
214,"China, Taiwan Province of",7020,Meteorological year,7271,Temperature change,°C,1.227
110,Japan,7020,Meteorological year,7271,Temperature change,°C,1.227
4,Algeria,7020,Meteorological year,7271,Temperature change,°C,1.224
176,Timor-Leste,7020,Meteorological year,7271,Temperature change,°C,1.221
22,Aruba,7020,Meteorological year,7271,Temperature change,°C,1.216
82,Gibraltar,7020,Meteorological year,7271,Temperature change,°C,1.216
171,Philippines,7020,Meteorological year,7271,Temperature change,°C,1.214
16,Bangladesh,7020,Meteorological year,7271,Temperature change,°C,1.211
162,Norway,7020,Meteorological year,7271,Temperature change,°C,1.203
104,Ireland,7020,Meteorological year,7271,Temperature change,°C,1.199
264,Isle of Man,7020,Meteorological year,7271,Temperature change,°C,1.198
66,Fiji,7020,Meteorological year,7271,Temperature change,°C,1.194
236,Venezuela (Bolivarian Republic of),7020,Meteorological year,7271,Temperature change,°C,1.194
227,Tuvalu,7020,Meteorological year,7271,Temperature change,°C,1.179
5203,Northern America,7020,Meteorological year,7271,Temperature change,°C,1.179
144,Mozambique,7020,Meteorological year,7271,Temperature change,°C,1.178
5103,Northern Africa,7020,Meteorological year,7271,Temperature change,°C,1.175
181,Zimbabwe,7020,Meteorological year,7271,Temperature change,°C,1.157
5504,Polynesia,7020,Meteorological year,7271,Temperature change,°C,1.157
225,United Arab Emirates,7020,Meteorological year,7271,Temperature change,°C,1.151
133,Mali,7020,Meteorological year,7271,Temperature change,°C,1.136
158,Niger,7020,Meteorological year,7271,Temperature change,°C,1.13
156,New Zealand,7020,Meteorological year,7271,Temperature change,°C,1.12
134,Malta,7020,Meteorological year,7271,Temperature change,°C,1.112
170,Peru,7020,Meteorological year,7271,Temperature change,°C,1.097
107,Côte d'Ivoire,7020,Meteorological year,7271,Temperature change,°C,1.082
233,Burkina Faso,7020,Meteorological year,7271,Temperature change,°C,1.075
105,Israel,7020,Meteorological year,7271,Temperature change,°C,1.066
5803,Small Island Developing States,7020,Meteorological year,7271,Temperature change,°C,1.06
155,Vanuatu,7020,Meteorological year,7271,Temperature change,°C,1.056
299,Palestine,7020,Meteorological year,7271,Temperature change,°C,1.055
60,El Salvador,7020,Meteorological year,7271,Temperature change,°C,1.052
276,Sudan,7020,Meteorological year,7271,Temperature change,°C,1.018
124,Libya,7020,Meteorological year,7271,Temperature change,°C,1.011
231,United States of America,7020,Meteorological year,7271,Temperature change,°C,1.011
277,South Sudan,7020,Meteorological year,7271,Temperature change,°C,1.01
36,Cayman Islands,7020,Meteorological year,7271,Temperature change,°C,1.001
19,Bolivia (Plurinational State of),7020,Meteorological year,7271,Temperature change,°C,0.994
151,Netherlands Antilles (former),7020,Meteorological year,7271,Temperature change,°C,0.985
86,Grenada,7020,Meteorological year,7271,Temperature change,°C,0.969
191,Saint Vincent and the Grenadines,7020,Meteorological year,7271,Temperature change,°C,0.969
178,Eritrea,7020,Meteorological year,7271,Temperature change,°C,0.964
132,Maldives,7020,Meteorological year,7271,Temperature change,°C,0.955
59,Egypt,7020,Meteorological year,7271,Temperature change,°C,0.949
5303,Southern Asia,7020,Meteorological year,7271,Temperature change,°C,0.936
177,Puerto Rico,7020,Meteorological year,7271,Temperature change,°C,0.934
189,Saint Lucia,7020,Meteorological year,7271,Temperature change,°C,0.922
101,Indonesia,7020,Meteorological year,7271,Temperature change,°C,0.912
5503,Micronesia,7020,Meteorological year,7271,Temperature change,°C,0.907
2,Afghanistan,7020,Meteorological year,7271,Temperature change,°C,0.893
240,United States Virgin Islands,7020,Meteorological year,7271,Temperature change,°C,0.865
70,French Polynesia,7020,Meteorological year,7271,Temperature change,°C,0.858
91,Guyana,7020,Meteorological year,7271,Temperature change,°C,0.858
239,British Virgin Islands,7020,Meteorological year,7271,Temperature change,°C,0.855
153,New Caledonia,7020,Meteorological year,7271,Temperature change,°C,0.851
258,Anguilla,7020,Meteorological year,7271,Temperature change,°C,0.843
8,Antigua and Barbuda,7020,Meteorological year,7271,Temperature change,°C,0.827
142,Montserrat,7020,Meteorological year,7271,Temperature change,°C,0.827
188,Saint Kitts and Nevis,7020,Meteorological year,7271,Temperature change,°C,0.827
221,Oman,7020,Meteorological year,7271,Temperature change,°C,0.803
161,Norfolk Island,7020,Meteorological year,7271,Temperature change,°C,0.798
71,French Southern and Antarctic Territories,7020,Meteorological year,7271,Temperature change,°C,0.796
87,Guadeloupe,7020,Meteorological year,7271,Temperature change,°C,0.793
64,Faroe Islands,7020,Meteorological year,7271,Temperature change,°C,0.79
135,Martinique,7020,Meteorological year,7271,Temperature change,°C,0.76
5502,Melanesia,7020,Meteorological year,7271,Temperature change,°C,0.739
234,Uruguay,7020,Meteorological year,7271,Temperature change,°C,0.72
55,Dominica,7020,Meteorological year,7271,Temperature change,°C,0.719
9,Argentina,7020,Meteorological year,7271,Temperature change,°C,0.709
100,India,7020,Meteorological year,7271,Temperature change,°C,0.685
168,Papua New Guinea,7020,Meteorological year,7271,Temperature change,°C,0.673
43,Cocos (Keeling) Islands,7020,Meteorological year,7271,Temperature change,°C,0.647
30,Antarctica,7020,Meteorological year,7271,Temperature change,°C,0.615
42,Christmas Island,7020,Meteorological year,7271,Temperature change,°C,0.61
149,Nepal,7020,Meteorological year,7271,Temperature change,°C,0.6
145,Micronesia (Federated States of),7020,Meteorological year,7271,Temperature change,°C,0.524
47,Cook Islands,7020,Meteorological year,7271,Temperature change,°C,0.514
165,Pakistan,7020,Meteorological year,7271,Temperature change,°C,0.473
40,Chile,7020,Meteorological year,7271,Temperature change,°C,0.46
127,Marshall Islands,7020,Meteorological year,7271,Temperature change,°C,0.42
190,Saint Pierre and Miquelon,7020,Meteorological year,7271,Temperature change,°C,0.275
271,South Georgia and the South Sandwich Islands,7020,Meteorological year,7271,Temperature change,°C,0.082
